model,strategy,promt,fre,fkgl,wiener,avg_word_length,avg_sentence_length,words_per_sentence,avg_syllables_per_word,polysyllables,output,promts
german_gpt_orig,sampling,Das,52.4,16.6,8.0,4.62,34.0,34.0,1.6,10,"Heute ist der Ort ein beliebter Ferienort.
Die Gemeinde liegt am Fuße des Berges ""Pizzo di Sotto"" (2'980 m), auf dem sich die Kirche San Giovanni dei Fiori befindet, und hat eine Fläche von 5 km² mit einer maximalen Ausdehnung in Nord-Süd Richtung bis zu 2km im Westen sowie 1/3 an den Hängen zum Monte Panao hin; sie grenzt außerdem direkt ans Val d’Ambra: Die Nachbargemeinden sind Coghinasca",Heute
german_gpt_orig,contrastive,Das,44.15,14.3,9.6,6.17,13.0,13.0,2.1,15,"Wir haben uns in der Vergangenheit immer wieder gegenseitig unterstützt.
Die Polizei hat die Ermittlungen aufgenommen und bittet um Hinweise unter 02241/5413221 oder per E-Mail an lfz@polizei.nrw.. dh Foto: Axel Heimken / dpa Picture Alliance (Symbolbild) Bild 2 © Bernd von Jutrczenka Photography GmbH & Co KG Fotomarathon 2018, Frankfurt am Main - www.bilderaachen2018Pleasurement of female",Wir
german_gpt_orig,beam,Das,104.8,0.5,-1.1,3.84,5.0,5.0,1.2,0,"Wir haben es geschafft.
Ich habe es geschafft!
Ich hab's geschafft. ich hab es geschafft, ich hab's!
Wir haben's geschafft, wir haben es...
- Wir haben es!
- Ja!
Ja!
Oh, mein Gott.
- Oh, Gott!
Was ist das?
- Das ist ein Geschenk.
Es ist für dich.
Für mich?
Ja, es ist für mich.
Ja.
Danke.
Vielen Dank.",Wir
german_gpt_orig,sampling,Das,38.15,16.6,12.2,6.11,19.0,19.0,2.1,18,"Wir haben uns in der Vergangenheit immer wieder gegenseitig unterstützt.
Die Polizei hat die Ermittlungen aufgenommen und bittet um Hinweise unter Telefon 0202/284-0, da sich ein Unbekannter am Dienstagnachmittag an einem geparkten Pkw zu schaffen gemacht hatte (Symbolbild). red Quelle: dpa Picture Alliance / picture alliance  Foto 1 © imago stock&people;dpa &redpixa© ap1xAdeMessere - Messerespender für den Mann aus dem",Wir
german_gpt_orig,contrastive,Das,48.0,13.9,7.8,5.73,15.0,15.0,2.0,14,"Die Türkei hat die Kurdenmiliz YPG in Nordsyrien mit Luftangriffen und Artilleriefeuer aus dem Norden unterstützt.
Der Grund: Die Stadt will das Areal für den Bau von Wohnhäusern nutzen, um dort Gewerbe ansiedeln zu können - unter anderem ein Logistikzentrum der Firma DHL-Group an einem neuen Standort im Gewerbegebiet ""Am Wald"". (mz) /Fotoblog/Archivfoto vom 28./29 Mai 2018 Foto © dpaPhobien & GingrichPilzinfektion ist",Die Türkei
german_gpt_orig,beam,Das,72.4,8.8,4.5,4.82,14.0,14.0,1.6,12,"Die Türkei hat sich in den vergangenen Jahren zu einem wichtigen Handelspartner der EU entwickelt.
Die Türkei ist ein wichtiger Handelspartner für die Europäische Union.
Der Handel mit der Türkei ist in den letzten Jahren stark gewachsen.
In den letzten zehn Jahren hat sich der Handel zwischen der Türkei und der EU mehr als verdreifacht.
Im Jahr 2005 betrug der Anteil der Türkei an den gesamten EU-Ausfuhren in die EU 15 rund 25%.
Die EU-Einfuhren aus der Türkei sind in den ersten zehn Jahren",Die Türkei
german_gpt_orig,sampling,Das,47.4,14.1,7.5,5.68,15.6,15.6,2.0,16,"Die Türkei hat die EU-Beitrittsverhandlungen mit der Europäischen Union aufgenommen.
Der Präsident des Bundesamtes für Verfassungsschutz, Hansjörg Müller (CDU), sagte am Montag in Berlin: ""Es ist nicht hinnehmbar und es muss Konsequenzen geben"". Die AfD habe sich von Anfang an gegen eine Beobachtung gewehrt - auch aus dem Ausland -, aber sie sei bereit gewesen zu gehen; das müsse man akzeptieren können! (...) Es gibt keine Alternative zur Zusammenarbeit zwischen den Sicherheitsbehörden im Bund oder bei uns!"" Der Vorsitzende Richter Michael",Die Türkei
german_gpt_orig,contrastive,Das,56.4,12.8,9.4,5.44,18.3,18.25,1.8,17,"Dieses Haus ist ein wunderbares Beispiel für die Architektur der Renaissance.
Es wurde im 15./16 Jahrhundert erbaut und hat eine schöne Fassade mit einem großen Fenster, das von einer Balustrade umrahmt wird; es gibt auch einen kleinen Garten in dem sich Blumenbeete befinden (eingezäunt).Das Gebäude befindet suggestiv über den Straßen des Viertels San Martino di Castrozza gelegen: Es besteht aus zwei Teilen – eines auf jeder Seite sowie drei Seiten angrenzend - wo man spazieren",Dieses Haus
german_gpt_orig,beam,Das,68.65,9.1,7.3,5.24,11.9,11.857142857142858,1.7,18,"Dieses Haus wurde im Jahre 1764 erbaut.
Es ist ein typisches Beispiel für die Architektur des Barocks.
Das Haus ist ein schönes Beispiel für den Baustil des Barock.
Im Erdgeschoss befindet sich das Wohnzimmer mit Kamin, die Küche, das Schlafzimmer und das Badezimmer.
In der ersten Etage befinden sich zwei Schlafzimmer und ein Badezimmer mit Dusche und Toilette.
Die Küche ist mit dem Wohnzimmer verbunden.
Auf der zweiten Etage befindet sich ein Schlafzimmer mit einem Doppelbett und einem Einzelbett, das Badezimmer ist mit",Dieses Haus
german_gpt_orig,sampling,Das,64.15,10.9,6.4,5.0,16.4,16.4,1.7,14,"Dieses Haus ist ein sehr schönes, altes Gebäude.
Es hat eine schöne Terrasse mit Gartenmöbeln und einen großen Pool (10 x 5 m).Das Anwesen verfügt über zwei Schlafzimmer: eines für die Kinder von 6-8 Jahren sowie eins im Erdgeschoss oder 1 Stockbett in einem kleinen Wohnzimmer auf der ersten Etage des Hauses gelegen; das andere Zimmer kann als Schlafsofa genutzt werden.Die Küche befindet sich oben an den Wänden, so dass Sie auch kochen können wie zu Hause fühlen!Der große Swimmingpool bietet Ihnen",Dieses Haus
german_gpt_orig,contrastive,Das,86.9,5.3,0.4,4.07,11.2,11.166666666666666,1.4,3,"Mein Vater war ein guter Mann.
Er hat mir alles beigebracht, was ich wissen muss und das ist mein Leben gewesen... bis er starb als es Zeit für mich wurde zu gehen! sagte sie immer wieder: ""Ich will nicht mehr leben!"" aber dann kam der Tag an dem ihr Herz zersprang - die ganze Welt weinte über ihn wie eine Erleuchtung in seinem Herzen..."" (Sûra 4 :16). 一分王の�",Mein Vater
german_gpt_orig,beam,Das,107.35,0.6,-1.8,3.76,8.3,8.333333333333334,1.1,0,"Mein Vater war ein guter Mann.
Er war ein sehr guter Mann, aber er war auch ein sehr schlechter Mensch.
Und er war sehr, sehr dumm.
Aber er war nicht dumm, er war nur ein guter Mensch, und er war kein schlechter Mensch, weil er ein sehr netter Mensch war.
Das ist alles.
Ich bin froh, dass du hier bist.
Es ist schön, dich zu sehen.
Ja, das ist es.
Du hast mir gefehlt.
- Ich",Mein Vater
german_gpt_orig,sampling,Das,88.8,4.6,2.0,4.18,9.3,9.285714285714286,1.4,5,"Mein Vater war ein guter Mann.
Er hat mir alles beigebracht, was ich wissen muss und das ist mein Leben gewesen... bis er starb als es passierte!)."" (1 Korinther 5:16) ""Und Gott sprach zu ihm:"" Du sollst nicht falsch Zeugnis reden wider deinen Nächsten!""(2 Timotheus 2 :5-6; 1 Petr 3::3 - 4 Petrus 6): ""... daß du dich bekehrst von den Götzen der Menschen."" (""Epheser 7"": 19",Mein Vater
wechsel,contrastive,Das,61.5,10.8,7.2,5.35,13.2,13.166666666666666,1.8,18,"Das Land USA hat eine neue Regierung.
Die Regierungs-Chefin heißt Donald Trump. Sie ist seit dem Jahr 2016 die erste Frau, der ein Präsident zustimmt und ernennt ihn zum Präsidenten von den Vereinigten Staaten of America (USA). Das bedeutet: Er wird neuer Chef vom Weißen Haus in Washington, das am 1., 2.. April eröffnet wurde."" Damit meint man alle wichtigen Politiker aus allen Bundesstaaten des amerikanischen Kontinents zusammen mit ihren Amtskollegen im Repräsentantenhaus oder bei einer Kongresswahl für einen",Das
wechsel,beam,Das,90.6,3.9,2.0,4.61,7.5,7.5,1.4,4,"Das deutsche Fußball-Team hat gegen die Mannschaft aus dem Land Frankreich mit 2 zu 0 gewonnen.
Das Spiel war in der Stadt Lyon.
Die Tore für Frankreich schoss Toni Kroos.
Der Trainer von Frankreich heißt Didier Deschamps.
Er hat gesagt: Das Spiel war sehr wichtig für uns.
Wir haben sehr gut gespielt.
Aber wir haben zu viele Fehler gemacht.
Deshalb haben wir das Spiel verloren.
Es war ein sehr wichtiges Spiel.
In Lyon haben wir",Das
wechsel,sampling,Das,45.7,17.0,9.6,5.39,29.0,29.0,1.8,19,"Das Land USA hat einen neuen Präsidenten.
Er heißt Donald Trump. Er ist der Chef von dem Weißen Haus in Washington, das war im Jahr 2016, als Barack Obama Präsident wurde und er die Präsidentschafts-Wahl gewonnen hatte: Das WeißeHaus liegt auf einem Hügel über den amerikanischen Bundesstaaten Colorado bis zum Meer vor Alaska In diesem Gebiet leben ungefähr 1 Million Menschen mit einer Behinderung oder ohne Behinderungen zusammen Die meisten Amerikaner sind gehörlos aber auch sehr viele andere haben eine geistige Beeinträchtigung wie etwa Autismus Oder sie",Das
wechsel,contrastive,Das,61.9,10.6,4.0,5.42,12.8,12.8,1.8,9,"Heute gibt es eine neue Internet-Seite.
Auf der Seite www.weddingpaperbookingcom/ kann man ein Foto von sich selbst machen und auf einem Computer speichern lassen: Man muss dazu nicht viel Geld ausgeben, um das zu tun! Es kostet nur 10 Cent pro Bild oder 100 Euro für die Datei (das sind 1 bis 2 Seiten). Außerdem ist diese Internetseite kostenlos im Netz verfügbar unter https://www1awandgreeneasyprogramshannover2017?page=5",Heute
wechsel,beam,Das,85.15,4.9,2.3,4.23,7.1,7.1,1.5,10,"Heute ist Welt-Down-Syndrom-Tag.
Er ist ein Welt-Tag für Menschen mit Down-Syndrom.
Der Tag ist jedes Jahr am 1. Mai.
In diesem Jahr ist der Tag in der Stadt New York.
New York ist die Haupt-Stadt von den USA. In New York gibt es viele berühmte Museen.
Zum Beispiel das National Museum of Modern Art.
Oder das Museum of Fine Arts.
Und das Museum für moderne Kunst.
Das Museum ist in der",Heute
wechsel,sampling,Das,70.0,9.7,4.3,5.01,16.4,16.4,1.6,10,"Heute ist Tag der Liebe.
Und dieser Welt-Tag wird jedes Jahr am 1., 2.. und 3.-Mai gefeiert: Der Valentinstag. Und auch heute gibt es noch viele andere schöne Dinge zu feiern, zum Beispiel ein Geburtstagsgeschenk oder eine Weihnachtsgeschichte für die Familie mit ihren Freunden in den USA, Kanada Oder man feiert seinen Geburtstag im Kreise seiner Freunde auf dem Land Australien In diesem Video kann jeder sehen wie er sich selbst einen Valentinstagsspruch machen muss : Was macht ihr? Wie geht das? Welche",Heute
wechsel,contrastive,Das,74.8,7.8,4.8,5.21,11.6,11.571428571428571,1.6,11,"Wir gibt es viele Gründe, warum Menschen krank werden.
Zum Beispiel: Die Krankheit ist zu spät erkannt worden? Sie hat sich nicht mehr gut angefühlt und das Blut kann noch schlechter durch die Adern gefrieren als sonst.  Es sind sehr starke Schmerzen in den Beinen da! Viele Ärzte sagen auch ""schmerzende Beine"". Was können wir dagegen tun? In der Medizin heißt man Patienten mit einer akuten oder chronischen Erkrankung nur dann behandeln wenn sie Beschwerden haben wie zum Bespiel Herz-Kreislaufprobleme, Krebsvor",Wir
wechsel,beam,Das,73.15,7.4,5.1,5.05,7.4,7.4,1.7,13,"Wir hat eine Umfrage gemacht.
Bei der Umfrage haben die Menschen gesagt: Wir wollen mehr Geld.
Und wir wollen mehr Kinder.
Die Umfrage ist im Internet.
Sie wollen wissen: Was wollen die Menschen mit der Umfrage erreichen?
Dann klicken Sie hier.
Hier können Sie die Umfrage lesen.
Und hier können Sie mehr über die Umfrage erfahren.
Sie möchten mehr Nachrichten zum Corona-Virus lesen?
Mehr Informationen über das Robert Koch-Institut finden Sie hier.
Das Robert",Wir
wechsel,sampling,Das,55.9,13.0,8.3,5.31,18.8,18.75,1.8,17,"Wir ist eine Organisation.
Sie hilft Menschen in Not bei der Suche nach einem neuen Job. Sie unterstützt sie dabei, einen passenden Beruf zu finden und sich für den richtigen einzustellen: zum Beispiel als Pflege-Arbeiter oder Pflegerin im Altenheim, zur Arbeit mit Kindern beim Arzt Oder auch um ein Studium abzuschließen Die Abkürzung dafür heißt ""Ombudsman"". ・Das sind die Mitglieder von Oombuden Man (Organisation) Das Wort Ombo kommt aus dem Lateinischen Und bedeutet auf Deutsch",Wir
wechsel,contrastive,Das,58.45,10.9,7.8,5.68,10.4,10.428571428571429,1.9,17,"Die Türkei hat eine Untersuchung über das Corona-Virus gemacht.
Sie wollen wissen: Hat die türkische Regierung ein Virus? Oder nicht?.Rassismus ist jemand, der Menschen schlecht behandelt und sie in Gefahr bringt (zum Beispiel durch Gewalt).Viele Türken sind gegen Ausländer oder für ihre Religion.Und viele Türkinnen haben Angst vor anderen Ländern wie Russland, China etc..Darum sagen manche von ihnen ""Islamischer Staat"".Oder man sagt auch so etwas aus dem Land Syrien : ISIS Der Islamische Staatsführer",Die Türkei
wechsel,beam,Das,74.55,6.8,3.7,4.94,6.0,6.0,1.7,11,"Die Türkei ist ein Land in Europa.
Die Türkei gehört zur Europäischen Union.
In der Türkei gibt es viele verschiedene Religionen.
Zum Beispiel die Christen.
Und die Muslime.
Der Präsident von der Türkei heißt Recep Tayyip Erdogan.
Er hat gesagt: Die Türkei ist eine Demokratie.
Das heißt: Die Menschen in der Türkei sind frei.
Sie können wählen.
Oder sie können frei entscheiden.
Es gibt auch eine Religion.
Diese Religion heißt Islam.
Islam",Die Türkei
wechsel,sampling,Das,63.35,11.2,6.4,5.14,17.2,17.2,1.7,14,"Die Türkei hat ein wichtiges Treffen in der Stadt Istanbul abgesagt.
Das ist die Haupt-Stadt von dem Land Syrien. Das Treffen war im türkischen Konsulat, das heißt: Es gab keine Gespräche mit den Menschen dort und auch kein Gespräch über ihre Rechte oder Pflichten bei einem Besuch aus Deutschland, wie es bisher üblich gewesen wäre."" Die türkische Regierung sagt aber nicht Nein zu diesem Verbot für Journalisten vom Sender ""Tirol"". Sie will damit erreichen dass sich alle Journalistinnen an diese Regeln halten müssen um frei arbeitende",Die Türkei
