text,label
Wir beantworten Ihre Fragen.,1.0
"Mit 14 Jahren fuhr er von Atlanta nach Dublin in Georgia, um dort an einem Redner-Wettbewerb teilzunehmen, den er auch gewann.",2.0
"Einen Zeitrahmen von mehreren Hundert Millionen Jahren umfasst hingegen die Temperaturbestimmung mithilfe der Sauerstoff-Isotope 18O/16O, für die sich besonders fossile Korallen, Foraminiferen und Süßwassersedimente eignen.",4.0
Bei den Ausflügen sind immer nette Betreuer dabei.,1.8
"Der Matrosenaufstand begann auf Schillig-Reede vor Wilhelmshaven, wo die deutsche Hochseeflotte in Erwartung der geplanten Seeschlacht vor Anker gegangen war.",3.3
So begann Albert erst im Alter von drei Jahren zu sprechen.,1.222222222
Die Arbeitsteilung in der Partnerschaft ist Gegenstand zahlreicher Untersuchungen.,2.0
Somit hat das Europäische Parlament erstmals ein zumindest eingeschränktes Initiativrecht.,3.0
Für Menschen mit Behinderung ist das sehr wichtig.,1.428571429
Den Ausweis bekommen Sie beim Versorgungs-Amt von Ihrem Wohn-Ort.,1.777777778
"Er sah vor, die deutsche Hochseeflotte trotz der bereits feststehenden Kriegsniederlage Deutschlands in eine letzte Schlacht gegen die britische Royal Navy zu entsenden.",4.375
Bis 1936 konnten auch Mitglieder des Parlamentes zu Vertretern des Komitees gewählt werden.,1.555555556
Nach mehreren Kriegen im 17 und 18 Jahrhundert gegen Frankreich und die Niederlande etablierte sich England (nach dem Act of Union 1707 mit Schottland das Königreich Großbritannien) als führende Kolonialmacht in Amerika und Indien.,3.3
"Kohl war es, der Mitte 1988 Jacques Delors für die Projektleitung vorgeschlagen hatte; dieser wiederum hatte die Mitwirkung der Chefs der europäischen Zentralbanken an der Entwicklung entsprechender Pläne durchgesetzt, um den geballten Sachverstand der je obersten Währungshüter gegen zu erwartende Widerstände einzelner Regierungen ins Feld führen zu können.",4.333333333
"Auf eine Klimaerwärmung wie die globale Erwärmung oder eine Abnahme des Schneefalls, die zu einer negativen Massenbilanz führen, reagiert der Gletscher mit einem Rückgang.",3.777777778
"Untersuchungen unter anderem des ADFC haben ergeben, dass die Haltung auf dem sogenannten Reiserad bei richtiger Rahmengröße und richtigem Sattel die Haltung ist, die der menschlichen Anatomie am stärksten entgegenkommt.",4.722222222
In Zeiten höherer Temperaturen war die Artenvielfalt sowohl im Meer als auch am Land geringer als in Zeiten niedrigerer Temperaturen.,2.888888889
Dort können Sie einen Antrag für den Ausweis schreiben.,1.0
Sie lernen neue Menschen kennen.,1.0
"Der Hohe Vertreter für Außen- und Sicherheitspolitik muss das Parlament regelmäßig informieren und dafür sorgen, dass die Auffassungen des Parlaments „gebührend berücksichtigt werden“.",3.6
"Die Geschichte der Europäischen Union ist durch ein Geflecht konkurrierender Motive und Entwicklungstendenzen charakterisiert, die zu unterschiedlichen Zeitpunkten jeweils richtungsgebend auf die Entwicklung der Gemeinschaft eingewirkt haben.",4.857142857
Es kommt hierbei auf die Qualität und Sortenreinheit der gesammelten Altteile und den Aufbereitungsprozess und die Nachadditivierung an.,4.222222222
"Die tieferen Ursachen der Revolution lagen in den extremen Belastungen durch den mehr als vier Jahre währenden Krieg, im allgemeinen Schock über die Niederlage des deutschen Kaiserreichs, in dessen vordemokratischen Strukturen und sozialen Spannungen sowie in der Politik seiner reformunwilligen Eliten.",4.7
Als Erster Lord der Admiralität betrieb Churchill ab 1911 die Modernisierung der Royal Navy.,2.222222222
"In diesem Zusammenhang verstand er sich selbst als Pazifist, Sozialist und Zionist.",2.0
"Die als Bestandteil des Binnenmarkts in der Einheitlichen Europäischen Akte festgeschriebene Freizügigkeit des Personenverkehrs wurde durch das 1985 in Schengen getroffene Abkommen zunächst von den Beneluxstaaten, Frankreich und der Bundesrepublik Deutschland auf den Weg gebracht, ohne dass aber die dazu nötige polizeiliche Zusammenarbeit und Vereinheitlichung der Visa die Durchführung schon gestattet hätte.",5.538461538
"Am 4 April 1968 wurde King bei dem Attentat in Memphis, Tennessee erschossen.",1.5
Das Gegenteil ist jedoch der Fall: Die Oberflächenspannung des Seifenwassers ist nur etwa ein Drittel so groß wie die des Wassers.,2.555555556
Seine erste negative Erfahrung mit der Rassentrennung machte King bereits mit Beginn seiner Grundschulzeit.,2.111111111
"Für den Griff werden Materialien wie Holz, Perlmutt, Horn oder auch Kunststoff verwendet.",1.8125
"Es gelang ihm tatsächlich, die meisten Beteiligten für eine gemeinsame Strategie zu gewinnen; Margaret Thatcher (britische Premierministerin 1979–1990) fehlte es an Mitstreitern für ihren Widerstand.",4.833333333
"Im Jahr 1991 wurde bekannt, dass Teile der Arbeit Plagiate enthalten.",1.777777778
Für hochwertige Würfel kann man diese aber sehr gering halten.,1.428571429
"Gleichzeitig entstand einerseits ein Bewusstsein um die Begrenztheit natürlicher Ressourcen insgesamt (etwa nach dem Ölschock der frühen 80er-Jahren), andererseits wurde das Deponieren etwa in urbanen Ballungsräumen (Megacyties) zunehmend undurchführbar.",5.75
"Die Vorbereitungen zur endlichen Verwirklichung einer Wirtschafts- und Währungsunion waren zwar bereits vor dem Ende der Blockkonfrontation 1989 in ein konkretes Stadium getreten, ihre Durchsetzung allen dann folgenden Krisen und Widrigkeiten zum Trotz ist aber – wie der Unionsvertrag – kaum zu denken ohne die deutsch-französische Achse Mitterrand-Kohl und ohne die Dynamik einer grundlegend veränderten Welt- und europapolitischen Lage.",5.625
"Der Kohlenstoff wurde dem normalen Kreislauf entzogen, weil die Cyanobakterien nicht von anderen Organismen verstoffwechselt wurden, sondern sich am Meeresboden absetzten, wo sie fein verteilt in den Sedimenten ablagerten oder im küstennahen, lichtdurchfluteten Flachwasserbereich als Stromatolithe fossilisierten.",6.0
"Unter der Vereinbarkeit von Familie und Beruf versteht man seit dem 20 Jahrhundert die Möglichkeit Erwachsener im arbeitsfähigen Alter, sich zugleich Beruf und Karriere einerseits und dem Leben in der Familie und der Betreuung von Kindern und pflegebedürftigen Personen andererseits zu widmen, unter Berücksichtigung der Schwierigkeiten, die dabei auftreten können.",4.071428571
Eine Hochbegabung war in seiner Jugend nicht abzusehen.,1.8
"Seifenblasen bestehen aus einem dünnen (dipolaren) Wasserfilm, an dem sich innen und außen Seifenmoleküle anlagern mit einer dem Wasser zugewandten polaren, hydrophilen Carboxylat-Gruppe und einem dem Wasser abgewandten unpolaren, hydrophoben Alkylrest.",5.0
"Dort heiratete er 1876 Pauline Koch und lebte in der Bahnhofstraße B135, wo Albert Einstein am 14 März 1879 zur Welt kam.",1.0
Manchmal muss man einen neuen Beruf lernen.,1.0
"Da die Athleten sich für die Wettkämpfe mit Sand und Öl einrieben, wurden Schweiß und Schmutz hinterher mit einer Strigilis (Hautschaber) und Wasser entfernt.",3.571428571
"Die Signale sind in einer vom Rand der Platte spiralförmig nach innen verlaufenden Rille gespeichert, deren Flanken die Schallschwingung des gespeicherten Signals abbilden.",3.777777778
Durch Erosion der oberen Schichten der Lewis-Überschiebung und die Talbildung während der Vergletscherung wurde das Gestein aus dem Proterozoikum freigelegt und sein Geologisches Profil angeschliffen.,4.444444444
"Dazu gehören steigende Meeresspiegel, Gletscherschmelze oder statistisch signifikante Abweichungen vom gewöhnlichen Wettergeschehen (siehe unten).",3.9
"Dem IPCC zufolge weisen von 29 436 Serien mit Beobachtungsdaten aus 75 Studien, die signifikante Veränderungen in physikalischen oder biologischen Systemen aufzeigen, 89 % mit den Erwartungen über eine erwärmte Welt übereinstimmende Veränderungen auf.",4.181818182
Bei den Mönchsorden regelten genaue Vorschriften die Benutzung und Verwahrung der verwendeten Rasiermesser.,3.555555556
"Dies sind geologische Wärmeanomalien, die oft mit aktivem Magmatismus einhergehen; dort sind mehrere hundert Grad heiße Fluide (Wasser/Dampf) in einer Tiefe von wenigen hundert Metern anzutreffen.",3.444444444
"Nach chemischer Härtung des Rußes war er in der Lage, auf galvanoplastischem Wege ein Zink-Positiv und von diesem ein Negativ der Platte anzufertigen, das als Stempel zur Pressung beliebig vieler Positive genutzt werden konnte – die Schallplatte war erfunden.",4.7
"Es erstreckte sich über eine Fläche von ca 33,67 Millionen km², was einem Viertel der Landfläche der Erde entspricht.",2.230769231
Wie in der Gründungsphase der Europäischen Gemeinschaft nach dem Zweiten Weltkrieg wurde auch nach dem Ende des Kalten Kriegs die Deutsche Frage wieder zu einem Katalysator des europäischen Einigungsprozesses.,3.642857143
Er nutzte seine außerordentliche Bekanntheit auch außerhalb der naturwissenschaftlichen Fachwelt bei seinem Einsatz für Völkerverständigung und Frieden.,3.111111111
"Das Erscheinungsbild des Nationalparks prägen die quer zum Hauptkamm verlaufenden von eiszeitlichen Gletschern ausgeschliffenen Trogtäler mit über 750 Seen, von denen nur 131 einen offiziellen Namen tragen.",5.555555556
"In den meisten Politikfeldern gilt dafür seit dem Vertrag von Lissabon das sogenannte ordentliche Gesetzgebungsverfahren (Art 294 AEU-Vertrag), bei dem Parlament und Rat der EU gleichberechtigt sind und jeweils in zwei Lesungen Änderungen an einem von der Europäischen Kommission vorgeschlagenen Gesetzestext einbringen können.",5.111111111
Seitdem gab es keine Abgeordneten in diesem Ausschuss.,1.9
"Da aber die Tendenz unübersehbar war und es keine ernsthaft evidenten Gründe gab, den Deutschen viereinhalb Jahrzehnte nach Kriegsende die Selbstbestimmung zu verweigern, richtete sich das Bemühen des französischen Staatspräsidenten François Mitterrand zum Jahresende 1989 darauf, das künftige deutsche Machtpotenzial durch eine Vertiefung der europäischen Integration zu binden.",4.636363636
"Betroffen sind davon bis auf wenige Ausnahmen alle Regionen, von den Tropen über die mittleren Breiten bis zu den polaren Eiskappen.",4.1
"Statt mit ihnen zu würfeln, also Zufallsergebnisse zu erzeugen, können Würfel gezielt auf bestimmte Werte gedreht und so zu deren Anzeige genutzt werden.",3.666666667
"Im Jahr 2007 waren früh eingesetzte Betriebssysteme wie MS-DOS und OS/2 bei Geldautomaten bereits selten anzutreffen, während Microsoft Windows den Markt bei Geldautomaten zu dominieren begann.",3.6
Die Mehrzahl aller Gletscher hat in den zurückliegenden Jahrzehnten zum Teil stark an Masse und Fläche verloren.,2.727272727
Dadurch verlängert sich die Lebensdauer der Blase erheblich.,2.777777778
"Regelmäßige Benutzer unterschiedlicher Würfeltypen bezeichnen diese häufig mit der Abkürzung W, oder auch d für englisch dice (Einzahl auch die), gefolgt von der Angabe der Seitenanzahl, also W6 oder D6 für sechsseitige, W10, W20, W30 für zehn-, zwanzig- und dreißigseitige Spielwürfel.",4.3
Und es gibt den grün-roten Behinderten-Ausweis.,1.0
Die Blasenwand ist dicker und gleichmäßiger und übersteht auch einen Nadelstich.,3.5
"Direkt zu erkennen ist dies an Gemälden, Zeichnungen oder alten Fotografien.",1.7
"Ein möglicher Nachteil von beispielsweise Kunststoff ist, dass – bei vertretbarem Aufwand – das Material nicht mehr die ursprüngliche Qualität oder dessen Verarbeitbarkeit erreicht wie bei der Primärherstellung vor dem Recyclingprozess.",2.714285714
"Bezeichnend ist daher die Umsetzung des Möglichen und Machbaren in der jeweils gegebenen zeitgeschichtlichen Lage, nicht die geradlinige Verwirklichung einer genau umrissenen Planung.",5.75
"Wurde die Vereinbarkeit von Familie und Beruf ursprünglich mehr als die Frage angesehen, ob sich Mutterschaft und Berufstätigkeit überhaupt vereinbaren lassen, entwickelte sich der gesellschaftliche Diskurs in den Industrienationen im Zuge der Emanzipation in die Richtung, wie sich für Mütter und Väter eine Berufstätigkeit mit der Erziehung der Kinder zeitlich vereinbaren lässt.",4.846153846
"Albert wuchs in einer assimilierten, nicht strenggläubigen deutsch-jüdischen Mittelstandsfamilie heran.",2.111111111
"Das waren kleine Räume, in denen ein Becken mit Holzkohle für Hitze sorgte.",2.285714286
Zum Beispiel machen wir Ausflüge in eine andere Stadt.,1.333333333
"Bundeskanzler Helmut Kohl und Außenminister Hans-Dietrich Genscher teilten diese Einschätzung – als Voraussetzung zur Wiedergewinnung der deutschen Einheit – und erwiesen sich auch nach dem Beitritt der DDR zur Bundesrepublik Deutschland als verlässliche europäische Partner, so dass sich seit dem 3 Oktober 1990 die EG-Verträge auch auf die fünf neuen Länder erstrecken konnten.",3.533333333
Die Klimageschichte ist auch für die Evolutionsgeschichte von Bedeutung.,1.7
"Um das Werfen mehrerer Würfel zu vereinfachen, Schummeln durch Trickwürfe zu vermeiden oder das Ergebnis vor anderen Spielern zu verbergen, kommen Würfelbecher (Knobelbecher genannt) zum Einsatz.",4.428571429
"Zu dieser Zeit schrieb er an der Boston University in Massachusetts seine Doktorarbeit mit dem Titel A Comparison of the Conceptions of God in the Thinking of Paul Tillich and Henry Nelson Wieman, wofür ihm 1955 der Titel „Doctor of Philosophy“ verliehen wurde.",2.555555556
"Seit 1972 sind die Statuten der Nobelstiftung auch dahingehend gestaltet, dass der Preis nur dann posthum vergeben werden darf, wenn der Preisträger nach Bekanntgabe stirbt.",4.428571429
"Für die Union resultiert daraus sowohl ein Akzeptanzproblem bei den EU-Bürgern, denen „Brüssel“ immer undurchsichtiger erscheint, als auch die mit dem Mitgliederwachstum verbundene Schwierigkeit, im bestehenden Institutionengefüge die Arbeits- und Handlungsfähigkeit der einzelnen Organe zu gewährleisten.",6.333333333
"Es wird öfter zur Wärmegewinnung genutzt, denn da kann bereits bei geringeren Vorlauftemperaturen die Wirtschaftlichkeit erreicht werden.",4.125
"Ein bestimmtes Bauschema scheint es nicht gegeben zu haben, man findet Räume mit meist 10 bis 22 Wannen oder Sitzwannen sowohl in rechteckiger (zum Beispiel in Olympia) als auch kreisbogenförmiger Anordnung (zum Beispiel in Gortyn, Gela und Megara Hyblaea).",3.6
In einem Szenario mit über das 21 Jh stark ansteigenden Emissionen (Business as usual) liegt der über diesen aufgenommene Anteil bei nur noch 22 %.,3.785714286
"Die Vorbereitungen zur endlichen Verwirklichung einer Wirtschafts- und Währungsunion waren zwar bereits vor dem Ende der Blockkonfrontation 1989 in ein konkretes Stadium getreten, ihre Durchsetzung allen dann folgenden Krisen und Widrigkeiten zum Trotz ist aber – wie der Unionsvertrag – kaum zu denken ohne die deutsch-französische Achse Mitterrand-Kohl und ohne die Dynamik einer grundlegend veränderten Welt- und europapolitischen Lage.",5.625
"Generell werden im Bereich der tiefen Geothermie drei Arten der Wärmeentnahme aus dem Untergrund unterschieden; welches der in Frage kommenden Verfahren zum Einsatz kommt, ist von den jeweiligen geologischen Voraussetzungen, von der benötigten Energiemenge sowie dem geforderten Temperaturniveau der Wärmenutzung abhängig.",4.9
Der Name Martin Luther war für den Vater und später für den Sohn Ausdruck tiefen religiösen Empfindens.,2.222222222
"Die Großeltern väterlicherseits trugen noch traditionell jüdische Namen, Abraham und Hindel Einstein.",2.153846154
Darüber hinaus trat er als Autor politischer und historischer Werke hervor und erhielt 1953 den Nobelpreis für Literatur.,2.571428571
Nicht alle Arten des Radfahrens erreichen dies in gleicher Weise.,1.7
"Die Hand sollte die gerade Verlängerung des Unterarms bilden und weder nach oben noch nach unten geknickt werden, um so durch das Handgelenk eine permanente und ungehinderte Blutversorgung der gesamten Hand sicherzustellen.",4.7
"In Browning östlich außerhalb des Parks fiel am 23 Januar 1916 die Temperatur innerhalb von 24 Stunden von 7 °C auf ?49 °C, der größte Temperaturunterschied innerhalb eines Tages in den Vereinigten Staaten.",2.333333333
Nach seiner Rückkehr aus dem Burenkrieg kandidierte er erfolgreich bei den Unterhauswahlen des Jahres 1900 und zog im März 1901 als frisch gewählter Konservativer für den Wahlkreis Oldham ins Parlament ein.,3.444444444
"Weniger wichtig, aber dennoch nicht unbedeutend ist die sogenannte biologische Kohlenstoffpumpe, bei der Kohlenstoff als Meeresschnee (biogener Teilchenregen) in tiefere Regionen absinkt.",4.1
Mit diesem Ausweis können Sie kostenlos mit der Bahn fahren.,1.0
"Oft werden die Ecken und Kanten abgerundet, um Rollverhalten und Handhabung zu verbessern.",3.357142857
"Kohlenstoffdioxid wird so lange im Meer gelöst, bis der Partialdruck in der Atmosphäre und im Meer gleich ist.",2.1
Die Ausgestaltung und Fortführung des europäischen Integrationsprozesses bleibt auch unter den Bedingungen des Reformvertrags von Lissabon eine außerordentliche Bewährungsprobe.,4.090909091
Und wir machen gemeinsam Sport und haben viel Spaß.,1.0
"Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.",6.3
Dann übernachten wir auch woanders.,1.0
"Stromatolithe aus versteinerten Biofilmen von Cyanobakterien sind in allen präkambrischen Gesteinen des Parks erhalten und besonders häufig in der Siyeh-Formation aus Dolomit und Kalkstein, aus der die Mehrzahl der höheren Gipfel im Park bestehen.",6.0
"Die Klimageschichte dokumentiert Entwicklung, Schwankungen und Auswirkungen des irdischen Klimas sowohl in geologischen Zeiträumen als auch in den Epochen der jüngeren Vergangenheit.",3.8
"Seine Herkunft aus der britischen Hocharistokratie sicherte ihm in seiner Jugend die Aufnahme in renommierte Internate und eine Laufbahn als Armeeoffizier, obwohl seine Leistungen als Schüler eher mangelhaft waren.",3.538461538
"Die Auszeichnung wird seit 1901 jedes Jahr am Todestag Alfred Nobels, dem 10 Dezember, in Oslo verliehen.",2.3
Generell gilt Fahrradfahren als sehr gesund (Herz- und Kreislauftraining) und gelenkschonend.,1.875
"Die Größe der Anlage deutet an, dass dieses Bad nicht nur der Körperreinigung, sondern wohl auch rituellen Zwecken und dem Vergnügen am Baden dienen sollte.",3.0
Mit dem Wasserdampf verschwand auch ein großer Teil des Kohlendioxids aus der Atmosphäre.,3.0
Nebenbei werden diese Formen wegen ihrer Symmetrie als besonders ästhetisch empfunden.,2.555555556
"In welchem Ausmaß die Durchschnittstemperatur im Laufe des 21 Jahrhunderts ansteigt, hängt insbesondere von der Menge an Treibhausgasen ab, die ausgestoßen werden.",3.8
Im 5 Jahrhundert v Chr entstanden öffentliche Badeanstalten mit einem Becken und Wannen sowie einem Salbraum (griechisch ????????? balaneion „Badstube“ bzw ??????? lutron „Bad“).,2.9
"Der Westen unterliegt dem maritimen Einfluss des Pazifischen Ozeans mit gemäßigten Temperaturen und hohen Niederschlägen, während die Ostseite dem kontinentalen Klima zugehörig ist, das durch extreme jahreszeitliche Temperaturunterschiede und die für Nordamerika typischen Blizzards aus nördlichen Richtungen geprägt ist.",3.875
Die Standardstückelung des ausgezahlten Geldes kann sich unterscheiden.,3.5
"Bereits im Jahre 1880 machte der US-amerikanische Physiker Charles Sumner Tainter (Columbia Graphophone Company) die Entdeckung, dass viele technische Nachteile der Edisonischen Walzen (umständliche Handhabung und aufwändige Vervielfältigung) beseitigt werden könnten, wenn man die Tonspur spiralförmig in die Oberfläche einer flachen, runden Scheibe eingraviert.",4.777777778
Arbeitsorte des Europäischen Parlaments sind neben Straßburg auch Brüssel und Luxemburg.,2.4
"Die mit Abstand meistverbreiteten Spielwürfel sind jene mit den Ziffern 1 bis 6 oder entsprechend vielen Punkten, den Augen, beschriftete Kuben oder Hexaeder.",2.875
Jeder Mensch soll einen Beruf lernen können.,1.615384615
"Kryokonit ist ein dunkler biogener Oberflächenstaub auf Schnee und Eis, der durch Winde in der Atmosphäre über weite Strecken transportiert wird und gewöhnlich auf Gletschern weltweit zu beobachten ist.",4.6
Jeder Mensch soll eine Berufs-Ausbildung machen können.,1.5
"So gab es noch keine Meere, Niederschläge oder sonstiges flüssiges Wasser auf der Erde, und die Zusammensetzung der reduzierenden Uratmosphäre unterschied sich stark von der heutigen Erdatmosphäre.",4.2
Wir helfen Ihnen bei der Arbeit.,1.0
"Wenn behinderte Menschen eine Arbeit suchen, können sie Unterstützung bekommen.",1.307692308
"Dieser Berührungspunkt kann insbesondere daher problematisch werden, da das menschliche Becken mit seinen Sitzbeinhöckern und dem Schambein (bzw den Schambeinkufen, auch Schambeinkamm genannt) durch den Kippwinkel des Beckens Auswirkungen auf die Biegung der gesamten Wirbelsäule hat.",5.888888889
Wortprägungen wie „weibliche Doppelverdiener“ wie auch der damals negativ konnotierte Begriff „Schlüsselkind“ wiesen zu dieser Zeit in Westdeutschland auf ungern gesehene Abweichungen vom Frauen- und Familienleitbild.,4.4
"Die Erwärmung ist mit zunehmender Nähe zu den Polen (siehe Polare Verstärkung) und mit steigender Höhe in Gebirgen (man spricht vom elevation dependent warming, dt höhenabhängige Erwärmung) stärker ausgeprägt.",3.6
In nichtvulkanischen Gebieten können die Temperaturen im Untergrund sehr unterschiedlich sein.,1.222222222
